,profileIdHashed,Position,Company,position_type,company_type,,,,
157,e0ea789361ac23ce26a87fd3257b74ec974a0f19,Vice President - Business Development,Camber Pharmaceuticals Inc,,,,,,
158,05e0fa23ada0a89b6efdfac62f1715a31163928e,"Sr. Director, Intel Corporation",Intel Corporation,,,,,,
159,abbaf9b5e628db422149d6cf37d8fac180c0e064,"Senior Director of Digitization, Compliance and Finance",Amsted Rail,,,,,,
160,c30e511af6f05750e57026758e4adcf767492796,Program Coordinator | Executive Administrator to VP of Brand & Impact,Autodesk,,,,,,
161,208959647d829a8b273883454e54ad46f9644bb6,President / Founder,Active Blogs,,,,,,
162,378a8b113aed7ba5476bd2524f035a5aeed3a7f7,"Co-Founder & Chief Marketing Officer (CMO) & Managing Director, Investments",ActionSpot Startup Studio,,,,,,
163,d836790362ba56a996ba6d5e12d32b82d9008d2a,Sr. Database Architect,TransMed Systems,,,,,,
164,e1b4587b7de8ad5564f19b3165449f969b5da068,"Head of Growth Insights, Google Play Growth Consulting",Google,,,,,,
165,8631ff5e8d3dacb062fd34d4b8bbdeaad13a62c5,Vice President Of Retail Operations,Sandbox VR,,,,,,
166,da63f76e84dbab3782bbd6d808e7615549d1766d,Partner Director,UiPath,,,,,,
167,c8c079e889fdeff664f6bcdf90fbbdc0fa88e0a4,pixel IP design,Apple,,,,,,
168,f4fc7e869bbdb83abc1a8e9ef07ab73b1fe7b251,CFO,Capistrano Valley Christian Schools,,,,,,
169,bfb8cbd93acf5360a8b07b13098902e53c789214,Managing Partner,Lokey Firearms,,,,,,
170,dc08a5ecdd44c8b7a01d2561a5b4fd881ed5913a,Digital Organizing Director,Communities United for Restorative Youth Justice (CURYJ),,,,,,
171,c5c34a9e40612371cc9e8ea25205fd02d618281c,Founder,G50 Global Smart City Summit,,,,,,
172,49ce2acdf0333e1984bcdcebd10cbc80c97b8401,Assistant General Counsel,Jabil,,,,,,
173,8c83ba668499439019191e674f3652091ef07cf7,Sr. GCM Manager,Lenovo,,,,,,
174,51b5578b184bb590789822c96fcf4f096af5db8d,"Director, HPC Strategic Marketing",Hewlett Packard Enterprise,,,,,,
175,0d535d7240b96315302b4fd675d8d20c090ff683,Consultant for Nonprofit Organizations,Self-employed,,,,,,
176,13f1ad2e3ec432692a8d65244fce57007ffd7993,Leadership Development Principal,Amazon.com,,,,,,
177,cc24e9ee31beec19a239948206ff98a050cb2e76,CEO,FoodMaven,,,,,,
178,cd01a957b9cd851063586241775e0cd3f9a68cab,Deputy Director,Union Square Business Improvement District,,,,,,
179,e7e071093f739d73e8a9b3df03e7684add4a3caa,"Principal, Business Development, North America",EBRD,,,,,,
180,03e4c9e8593fd47ca6df56bb56b3d5993da24ab4,Chief AI Evangelist,DataRobot,,,,,,
181,00b03486ad608d322a9e594a67ec715005747b04,Senior Technical Recruiter,Datavant,,,,,,
182,e7901d94ac776068edd51f0aa0c905862b692ea0,Management Branch Operations,Enterprise Holdings,,,,,,
183,935a7c97a9659e86ecd37af95a6ae1fe728f6463,Partnerships and Program Coordinator,OWLI Africa,,,,,,
184,c359acf3622017f2facbbf2668ada43098611f6e,Executive Assistant to Marc Ryan,"MedHOK, Inc.",,,,,,
185,5686fcac7fe2de009495ab6cb458c964d0358a54,Senior Director Product Marketing Machine Learning,Cloudera,,,,,,
186,24943c4151ef443da8dcf0c7141c604063e6f9ff,BCS Horizontal Solutions Manager,Hewlett-Packard,,,,,,
187,d88aac4059c378476e058190af4ec24ad3fd1997,Founder/CEO ,"Bevov, Inc",,,,,,
188,b19c2e053ef45536b0e51a3906714ef0658c459f,Co-Founder,Fourscore Security Solutions,,,,,,
189,f64c4693d806781f2b6ee80a34b23b6771f738af,VP | CTO - Cloud Business Group,Oracle,,,,,,
190,1c3076a8426f92a36e0d3ed8a43c000400bc0d00,Sr. Executive Leadership Recruiter,Intel Corporation,,,,,,
191,84db1eca700f2113ed4a386cfaed03cdacbfff52,Senior Technical Recruiter,Luca Talent,,,,,,
192,14cfdd1aadd1eeb7fdc197056a595f12af6be2d6,Head Of Operations,Electric Torque Machines,,,,,,
193,3251feb834f45060ad2fc33d5c82c94ca38d1eee,Executive Coach,Everwise (Outside Council),,,,,,
194,afbd4eee6c6bc55567380cb7b38b71c01c308d57,Founder & President,"Sources for Talent, LLC",,,,,,
195,83b6791b82d91ff3cde239028147e4af9ead21c4,"Director of Sales, North America","QPC Fiber Optic, Inc.",,,,,,
196,a2b790c4c87f13cc0b6fbfdba8437a594cdeda8d,Software Solutions Architect,HP,,,,,,
197,3785d9be8103cc12e5b3982299d32bd29dca2ce4,Strategy Advisor and Management Consultant,Strategy Advisor and Consultant,,,,,,
198,94ccf6e2108fa2d82b1f640af9a1a0f2a458250a,Program Planner,Boeing,,,,,,
199,4acd5b0c7d5e84d142a6e4a102a783cfd8931d1c,Dir,Lenovo,,,,,,
200,50c4d5dfd405890fc113cd9f1e3d9e84bf564044,"Executive Director, PC & Smart Device Strategic Projects",Lenovo,,,,,,
201,e5a8a3729aa5c716de36ef3890cb67ee10bb822c,Channel A3/MPS Specialist,HP,,,,,,
202,eee0635196a1ea98721749faf854797faa2728d4,"Sr. Manager, Operations Strategy",Pizza Hut,,,,,,
203,daa8d2e3a2a27a4003bb6db6e971335fcdf8e792,"CPA, CFPÂ®, Managing Partner","Zhai & Wang, LLP",,,,,,
204,ba44ccc4da0285c056badd810bff94003e5be142,CSO,ClevAir,,,,,,
205,cfdf842e2b7264a6c7fd0441c7cfa622c6a61b2d,Sustainability Strategy Leader,HP,,,,,,
206,ffdd8767db77f035e695cd41ce3e25c58a7f0756,Global Account Manager | PwC,Salesforce,,,,,,
207,ac1bca020eb324c6feaf2907751baade94d5c210,Sr. OEM Account Manager,Zebra Technologies,,,,,,
208,6ec4e8e533e1a9a911afcac2fd827f970c3e9194,Technology Manager,Kroger Technology,,,,,,
209,9181de74b1cd65d6e32637f2ee0ff0af4f6aba81,Vice President Emerging Memory,Micron Technology,,,,,,
210,52efa4dded16d16daaf511e389f7dae920713374,Account Executive,Yellowbrick Data,,,,,,
211,6492c0728a4f97c7b1fec94f6c54f37ac1fab9fe,"Senior Director, Near Data Computing",Micron Technology,,,,,,
212,ce173d3c13962f152e3f3fc7ab0856130c1d75c1,"Managing Director, Early-Stage Investments",Sangha Ventures,,,,,,
213,6f49a513bbd55983f9ac2d39857437e2f65b4f65,Data Scientist,Cloudera,,,,,,
214,367238ead69fa17d2b65d9195bf0d02d337503d7,Business Planner,HP,,,,,,
215,43b17df0face11e27c2aeee2cb4a5300bb13875d,Financial Analyst,InFocus Corp.,,,,,,
216,73f0de72c12796c18361108227bd1f9a6a0016eb,Managing Director at Quansight Initiate | COO at Quansight Futures,Quansight Initiate,,,,,,
217,e23a6d6be3ebd34da8f67321137e0a3346369ed7,"Instructor, Senior Data Scientist",Galvanize Inc,,,,,,
218,4a7aa9910061e2497e688943cbeb9d1d0122a3f7,Global Go to Market Expert | Startup Focus | Advisory Boards | Speaker,Go-To-International ,,,,,,
219,e09ef17ff0ec944a0b2dd584981c344af99d0c43,Guest Lecturer,Claremont McKenna College,,,,,,
220,f56b67f6f04349f05fa2a3873cc963c9c37c84ba,"Partner, VP of Business Development, USA and International",Graphene Sales,,,,,,
221,f59992cb31023617b60af563194827df8b40a7cb,Manager,Civic Design Lab,,,,,,
222,41eb4f3f28c2037d30b8c05712454a8b851bcbab,"Director,Cybersecurity and Cyber Engineering Associate Professor",ASSOCIATE PROFESSOR  CYBERSECURITY.   GANNON UNIVERSITY ,,,,,,
223,4b2d6d04f5d6a0ec10df9d37fbeb00552e2b1d06,Consultant,PNC,,,,,,
224,358a30fe7f23f17b72aee8747e970ffd0c57d8e6,Sr Systems Engineer - Pre Sales,Dell EMC,,,,,,
225,4ce4a1961d412b853a3f8b8c8f55dbb39145d851,"Global Sales Talent Acquisition Leader, People and Communities",Cisco,,,,,,
226,8475acd72975b1d8b4eae5165482d551be2422c9,Chief Financial Officer,Boman Kemp,,,,,,
227,d62ff5ce83cf5fc16bca629ccbc1a29165984685,"Chief Of Staff, Technical Assistant, and Operations Manager Intel Product Assurance & Security",Intel Corporation,,,,,,
228,f2ba581ade25067ca4a31302eb125ff3331ec148,"Vice President & General Manager,  Alliances, Retail, RFID, Solutions, POS, Digital, E-commerce",Sensormatic,,,,,,
229,aa956f975c91196212c068981a4c94a346443e83,Head of Management Sciences Consulting,Arete South LLC,,,,,,
230,c29bfe50559f0eb34ba1590ab88416554d4f1b89,,,,,,,,
231,d98460ec4a8b5a55d5927b26951bfed0a326dd62,Owner,Tim Hung electronics LTD,,,,,,
